player_name,player_team,jersey
Devon Goodman,Penn,12
AJ Brodeur,Penn,25
Jordan Dingle,Penn,3
Ryan Betley,Penn,0
Max Martz,Penn,14
Ray Jerome,Penn,1
Eddie Scott,Penn,13
Jarrod Simmons,Penn,24
Lucas Monroe,Penn,11
Max Lorca-Lloyd,Penn,4
Christian Juzang,Harvard,22
Chris Lewis,Harvard,0
Noah Kirkwood,Harvard,10
Justin Bassey,Harvard,20
Robert Baker,Harvard,35
Danilo Djuricic,Harvard,30
Rio Haskett,Harvard,5
Chris Ledlum,Harvard,4
Mason Forbes,Harvard,21
