,player_x,player_y,player_name,time_remaining,shotClock,half,pos_id
3,22.24465002,18.31712479,Jordan Dingle,1184,17,1,1
4,29.46003708,27.73707013,Ryan Betley,1184,17,1,1
5,33.46858544,16.11245674,Max Martz,1184,17,1,1
6,19.03781133,7.69463324,Christian Juzang,1184,17,1,1
7,28.45789999,4.955502237,Chris Lewis,1184,17,1,1
8,29.6604645,20.38817864,Noah Kirkwood,1184,17,1,1
9,19.43866616,19.18563243,Justin Bassey,1184,17,1,1
10,33.46858544,15.11033489,Robert Baker,1184,17,1,1
11,30.46217417,4.287418969,ball,1184,17,1,1
1,6.010029139,19.01861008,Devon Goodman,1183,16,1,1
2,36.47499672,7.69463324,AJ Brodeur,1183,16,1,1
3,23.84806937,6.091238289,Jordan Dingle,1183,16,1,1
4,29.05918224,29.47408235,Ryan Betley,1183,16,1,1
5,25.05063388,7.69463324,Max Martz,1183,16,1,1
6,17.03353715,8.79696727,Christian Juzang,1183,16,1,1
7,31.26388384,6.759321558,Chris Lewis,1183,16,1,1
8,24.64977904,23.76198478,Noah Kirkwood,1183,16,1,1
9,23.64764195,7.327186525,Justin Bassey,1183,16,1,1
10,25.45148871,7.728035263,Robert Baker,1183,16,1,1
11,24.85020646,7.728035263,ball,1183,16,1,1
1,5.609174302,20.12094411,Devon Goodman,1182,15,1,1
2,33.86944028,17.71585169,AJ Brodeur,1182,15,1,1
3,17.23396456,-0.322341517,Jordan Dingle,1182,15,1,1
4,28.45789999,32.41364078,Ryan Betley,1182,15,1,1
5,23.44721453,5.155926606,Max Martz,1182,15,1,1
6,17.43439198,9.96611146,Christian Juzang,1182,15,1,1
7,31.46431126,8.897179454,Chris Lewis,1182,15,1,1
8,19.839521,26.56792594,Noah Kirkwood,1182,15,1,1
9,19.839521,3.919972253,Justin Bassey,1182,15,1,1
10,24.2489242,5.723791574,Robert Baker,1182,15,1,1
11,23.24678711,5.122518467,ball,1182,15,1,1
1,6.010029139,22.72646091,Devon Goodman,1181,14,1,1
2,32.86730319,19.85370958,AJ Brodeur,1181,14,1,1
3,12.42370652,1.214243273,Jordan Dingle,1181,14,1,1
4,24.44935162,33.64958902,Ryan Betley,1181,14,1,1
5,24.85020646,6.592299211,Max Martz,1181,14,1,1
6,15.83097264,12.00375717,Christian Juzang,1181,14,1,1
7,30.06131933,9.799089114,Chris Lewis,1181,14,1,1
8,22.0442226,25.03134115,Noah Kirkwood,1181,14,1,1
9,19.23823875,3.786358046,Justin Bassey,1181,14,1,1
10,25.45148871,6.592299211,Robert Baker,1181,14,1,1
11,24.85020646,6.79272358,ball,1181,14,1,1
1,10.21900492,22.79327107,Devon Goodman,1175,28,1,2
2,27.25533548,9.69887693,AJ Brodeur,1175,28,1,2
3,34.0698677,18.85158774,Jordan Dingle,1175,28,1,2
4,10.0185775,7.661231218,Ryan Betley,1175,28,1,2
5,20.64123067,26.86856555,Max Martz,1175,28,1,2
6,7.613448485,39.59550992,Christian Juzang,1175,28,1,2
7,31.46431126,10.96823331,Chris Lewis,1175,28,1,2
8,2.001480773,2.349985441,Noah Kirkwood,1175,28,1,2
9,46.49636763,21.18987612,Justin Bassey,1175,28,1,2
10,24.44935162,42.23443486,Robert Baker,1175,28,1,2
11,7.413021067,41.03188864,ball,1175,28,1,2
1,19.53887682,26.70154627,Devon Goodman,1174,27,1,2
2,25.55169936,8.696755085,AJ Brodeur,1174,27,1,2
3,34.57093319,18.25031769,Jordan Dingle,1174,27,1,2
4,14.52819136,10.93482822,Ryan Betley,1174,27,1,2
5,28.55811064,23.32773402,Max Martz,1174,27,1,2
6,22.14443325,36.75616674,Christian Juzang,1174,27,1,2
7,30.76281224,10.3669602,Chris Lewis,1174,27,1,2
8,2.502546261,6.859533742,Noah Kirkwood,1174,27,1,2
9,41.78632025,19.98732991,Justin Bassey,1174,27,1,2
10,32.36623159,26.53452392,Robert Baker,1174,27,1,2
11,22.94614293,37.15701547,ball,1174,27,1,2
1,28.59151623,26.13367518,Devon Goodman,1173,26,1,2
2,28.45789999,10.09972567,AJ Brodeur,1173,26,1,2
3,39.88226283,15.77841816,Jordan Dingle,1173,26,1,2
4,16.83310973,11.13524953,Ryan Betley,1173,26,1,2
5,24.85020646,15.8452222,Max Martz,1173,26,1,2
6,32.66687577,27.67025997,Christian Juzang,1173,26,1,2
7,31.46431126,13.03928104,Chris Lewis,1173,26,1,2
8,2.602763028,8.830369292,Noah Kirkwood,1173,26,1,2
9,46.49636763,21.92476343,Justin Bassey,1173,26,1,2
10,24.64977904,13.70736431,Robert Baker,1173,26,1,2
11,46.0955128,21.72433907,ball,1173,26,1,2
1,35.33923727,16.07905471,Devon Goodman,1172,25,1,2
2,30.4955767,11.70312062,AJ Brodeur,1172,25,1,2
3,40.51694762,18.71797353,Jordan Dingle,1172,25,1,2
4,17.46779451,11.6697186,Ryan Betley,1172,25,1,2
5,23.07976222,7.861655587,Max Martz,1172,25,1,2
6,40.71737503,13.6405572,Christian Juzang,1172,25,1,2
7,34.30369765,17.91627606,Chris Lewis,1172,25,1,2
8,4.440012324,17.04776842,Noah Kirkwood,1172,25,1,2
9,44.92635082,21.85795633,Justin Bassey,1172,25,1,2
10,19.4720687,4.487843338,Robert Baker,1172,25,1,2
11,44.7259234,22.32561217,ball,1172,25,1,2
1,39.44799935,6.926340846,Devon Goodman,1171,24,1,2
2,30.69600412,16.11245674,AJ Brodeur,1171,24,1,2
3,37.51053634,18.11670042,Jordan Dingle,1171,24,1,2
4,18.73716714,19.11882227,Ryan Betley,1171,24,1,2
5,18.73716714,9.69887693,Max Martz,1171,24,1,2
6,47.59871538,5.222730652,Christian Juzang,1171,24,1,2
7,38.57948155,19.48626898,Chris Lewis,1171,24,1,2
8,10.61985976,26.1670772,Noah Kirkwood,1171,24,1,2
9,41.28525476,22.35901419,Justin Bassey,1171,24,1,2
10,4.607037211,5.322942836,Robert Baker,1171,24,1,2
11,41.48568218,22.35901419,ball,1171,24,1,2
1,32.66687577,5.322945894,Devon Goodman,1170,23,1,2
2,30.46217417,14.50906178,AJ Brodeur,1170,23,1,2
3,40.28311767,22.32561217,Jordan Dingle,1170,23,1,2
4,19.23823875,16.84734405,Ryan Betley,1170,23,1,2
5,13.42584362,9.632066768,Max Martz,1170,23,1,2
6,44.89294829,6.625704292,Christian Juzang,1170,23,1,2
7,31.26388384,15.51118363,Chris Lewis,1170,23,1,2
8,7.613448485,31.41151894,Noah Kirkwood,1170,23,1,2
9,42.48781927,21.39030049,Justin Bassey,1170,23,1,2
10,8.615585577,9.96611146,Robert Baker,1170,23,1,2
11,air,air,ball,1170,23,1,2
1,20.64123067,44.77314149,Devon Goodman,1160,26,1,3
2,31.46431126,28.73919198,AJ Brodeur,1160,26,1,3
3,5.809601721,19.11882227,Jordan Dingle,1160,26,1,3
4,19.23823875,25.06474318,Ryan Betley,1160,26,1,3
5,47.09764989,7.160170295,Max Martz,1160,26,1,3
6,21.24251293,38.82722059,Christian Juzang,1160,26,1,3
7,28.85875482,21.39030049,Chris Lewis,1160,26,1,3
8,20.03994842,26.40090971,Noah Kirkwood,1160,26,1,3
9,12.02285169,19.78690554,Justin Bassey,1160,26,1,3
10,36.87585156,10.56738457,Robert Baker,1160,26,1,3
11,25.25106129,42.83570796,ball,1160,26,1,3
1,26.42021716,40.86486783,Devon Goodman,1159,25,1,3
2,28.89215736,30.74343567,AJ Brodeur,1159,25,1,3
3,2.435738141,12.30439373,Jordan Dingle,1159,25,1,3
4,20.70803574,16.51330547,Ryan Betley,1159,25,1,3
5,47.96616462,9.899301299,Max Martz,1159,25,1,3
6,25.51829377,35.75404489,Christian Juzang,1159,25,1,3
