First_Name,Last_Name,Position,Height,Weight
AJ,Brodeur,F,80,240
Devon,Goodman,G,72,170
Jordan,Dingle,G,75,200
Ryan,Betley,G,77,200
Max,Martz,F,78,210
Eddie,Scott,G,78,200
Lucas,Monroe,G,78,200
Ray,Jerome,G,74,190
Jarrod,Simmons,F,80,220
Bryce,Washington,G,76,180
Max,Lorca-Lloyd,C,81,210
Griffin,Ryan,G,77,215
Alex,Imegwu,G,78,205
Mark,Jackson,C,87,260
